Unnamed: 0,inst_id,time,cpu_usage,bins,partition
29,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,29,449.3456277822165,A,A1
30,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,30,449.4264402760584,A,A1
31,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,31,449.9334529337885,A,A1
32,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,32,469.9883409224044,A,A1
33,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,33,469.1924545063702,A,A1
34,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,34,469.99965662884847,A,A1
35,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,35,470.1247697142717,A,A1
36,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,36,470.1340468872385,A,A1
37,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,37,469.6195560510576,A,A1
38,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,38,430.04875205542464,A,A1
39,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,39,430.17344928011113,A,A1
40,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,40,429.8816418159127,A,A1
41,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,41,429.5634218844889,A,A1
42,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,42,430.3206329320671,A,A1
43,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,43,429.0364454883995,A,A1
44,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,44,430.1517512912672,A,A1
45,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,45,429.9804448010854,A,A1
46,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,46,429.8195404065902,A,A1
47,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,47,429.8847868638921,A,A1
48,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,48,429.2611378065938,A,A1
49,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,49,429.25861487633415,A,A1
89,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,29,428.7311333128305,A,A1
90,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,30,428.30684316675166,A,A1
91,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,31,428.65654649596047,A,A1
92,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,32,468.8791920458752,A,A1
93,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,33,468.2415140395006,A,A1
94,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,34,469.17588929291935,A,A1
95,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,35,469.0498114100839,A,A1
96,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,36,468.23049769586606,A,A1
97,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,37,469.0185632884992,A,A1
98,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,38,429.3652547038355,A,A1
99,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,39,429.3274593877224,A,A1
