,worker_name,machine,start_time,end_time,machine_cpu_iowait,machine_cpu_kernel,machine_cpu_usr,machine_gpu,machine_load_1,machine_net_receive,machine_num_worker,machine_cpu
4343,0ef0bb194ac1abbb9e4943797c0e0637222e9989a259b55afce63c7b32a8,ab8844aaf1ceb8329f8b4529,2135755,2135937,,,,,,,,
4347,8c20009d87375fabd262cab7c8886efb30e75378df1a310bcd101d403ae2,ab8844aaf1ceb8329f8b4529,2135975,2142856,,,,,,,,
4352,386505b0d283c9859f7fdba5570befb0999bb188e5fd4cd6bf56bb362785,ab8844aaf1ceb8329f8b4529,2132327,2132651,,,,,,,,
4353,f5fb018d1300ec473a49f18db94b3bb1a38d5d4a47e9eacd9a458c92b0ca,ab8844aaf1ceb8329f8b4529,2136998,2142640,,,,,,,,
6948,44c62d7e0d5ea465858b3481e71e6fb3a7de4fec72a97b5d0b258e2c60b1,e7b3f000e98a235fa417f069,2138132,2144316,,,,,,,,
6956,7191b6882dc46b17ded07a317bf9fd45acbf0834108eb89cdf12b9a2a977,e7b3f000e98a235fa417f069,2140040,2146500,,,,,,,,
7002,d2f952aabc99fc6a495643f6e37d68510ff9663421ba829ff142d3b2c4d2,e7b3f000e98a235fa417f069,2130804,2132015,,,,,,,,
7068,41075213de9b94e357fca9caefe9106aeb3b7f622b5a55975b9c2428b21a,e7b3f000e98a235fa417f069,2102007,2147102,,,,,,,,
7213,bbff97c5099321e345aec20fde7c5afa8e73e60315c776d03fa6907d5971,e7b3f000e98a235fa417f069,2157945,2158036,,,,,,,,
7302,e71b79c6b04bfd00164a03827b039e77711bf8bf45df784fc36101677df5,e7b3f000e98a235fa417f069,2142939,2165763,,,,,,,,
7334,64950d12d661a1272ae274afc5345f8e7da039641161fb33f974e5e6ae39,e7b3f000e98a235fa417f069,2134193,2308990,,,,,,,,
7388,72942af94bb083c27ba80f49d3e426c98f40c14fc02902205490fbbd6526,e7b3f000e98a235fa417f069,2132377,2132539,,,,,,,,
7389,0886e1dce0c5e7b2a621b76142e363475120a3120d4edf3ca20fece60c0b,e7b3f000e98a235fa417f069,2150541,2151222,,,,,,,,
