time,Average_Memory,Machine_Load,GPU_Usage,CPU_Usage
0,14.54365263,6.265650943,10.94749541,80
0.2833333333,14.54365263,6.265650943,10.94749541,80
0.55,14.54365263,6.265650943,10.94749541,80
0.8333333333,14.54365263,6.265650943,10.94749541,80
1.116666667,14.54365263,6.265650943,10.94749541,80
1.383333333,14.54365263,6.265650943,10.94749541,80
1.666666667,14.54365263,6.265650943,10.94749541,80
1.95,14.54365263,6.265650943,10.94749541,80
2.216666667,14.54365263,6.265650943,10.94749541,80
2.5,14.54365263,6.265650943,10.94749541,80
2.783333333,14.54365263,6.265650943,10.94749541,80
3.05,14.54365263,6.265650943,10.94749541,80
3.333333333,14.54365263,6.265650943,10.94749541,80
3.616666667,14.54365263,6.265650943,10.94749541,80
3.883333333,14.54365263,6.265650943,10.94749541,80
4.166666667,14.54365263,6.265650943,10.94749541,80
4.45,14.54365263,6.265650943,10.94749541,80
4.716666667,14.54365263,6.265650943,10.94749541,80
5,14.54365263,6.265650943,10.94749541,80
5.283333333,14.54365263,6.265650943,10.94749541,80
5.55,14.54365263,6.265650943,10.94749541,80
5.833333333,14.54365263,6.265650943,10.94749541,80
6.116666667,14.54365263,6.265650943,10.94749541,80
6.383333333,14.54365263,6.265650943,10.94749541,80
6.666666667,14.54365263,6.265650943,10.94749541,80
6.95,14.54365263,6.265650943,10.94749541,80
7.216666667,14.54365263,6.265650943,10.94749541,80
7.5,14.54365263,6.265650943,10.94749541,80
7.783333333,14.54365263,6.265650943,10.94749541,80
8.05,14.54365263,6.265650943,10.94749541,80
8.333333333,14.54365263,6.265650943,10.94749541,80
8.616666667,14.54365263,6.265650943,10.94749541,80
8.883333333,14.54365263,6.265650943,10.94749541,80
9.166666667,14.54365263,6.265650943,10.94749541,80
9.45,14.54365263,6.265650943,10.94749541,80
9.716666667,14.54365263,6.265650943,10.94749541,80
10,14.54365263,6.265650943,10.94749541,80
10.28333333,14.54365263,6.265650943,10.94749541,80
10.55,14.54365263,6.265650943,10.94749541,80
10.83333333,14.54365263,6.265650943,10.94749541,80
11.11666667,14.54365263,6.265650943,10.94749541,80
11.38333333,14.54365263,6.265650943,10.94749541,80
11.66666667,14.54365263,6.265650943,10.94749541,80
11.95,14.54365263,6.265650943,10.94749541,80
12.21666667,14.54365263,6.265650943,10.94749541,80
12.5,14.54365263,6.265650943,10.94749541,80
12.78333333,14.54365263,6.265650943,10.94749541,80
13.05,14.54365263,6.265650943,10.94749541,80
13.33333333,14.54365263,6.265650943,10.94749541,80
13.61666667,14.54365263,6.265650943,10.94749541,80
13.88333333,14.54365263,6.265650943,10.94749541,80
14.16666667,14.54365263,6.265650943,10.94749541,80
14.45,14.54365263,6.265650943,10.94749541,80
14.71666667,14.54365263,6.265650943,10.94749541,80
15,14.54365263,6.265650943,10.94749541,80
15.28333333,14.54365263,6.265650943,10.94749541,80
15.55,14.54365263,6.265650943,10.94749541,80
15.83333333,14.54365263,6.265650943,10.94749541,80
16.11666667,14.54365263,6.265650943,10.94749541,80
16.38333333,14.54365263,6.265650943,10.94749541,80
16.66666667,14.54365263,6.265650943,10.94749541,80
16.95,14.54365263,6.265650943,10.94749541,80
17.21666667,14.54365263,6.265650943,10.94749541,80
17.5,14.54365263,6.265650943,10.94749541,80
17.78333333,14.54365263,6.265650943,10.94749541,80
18.05,14.54365263,6.265650943,10.94749541,80
18.33333333,14.54365263,6.265650943,10.94749541,80
18.61666667,14.54365263,6.265650943,10.94749541,80
18.88333333,14.54365263,6.265650943,10.94749541,80
19.16666667,14.54365263,6.265650943,10.94749541,80
19.45,14.54365263,6.265650943,10.94749541,80
19.71666667,14.54365263,6.265650943,10.94749541,80
20,14.54365263,6.265650943,10.94749541,80
20.28333333,14.54365263,6.265650943,10.94749541,80
20.55,14.54365263,6.265650943,10.94749541,80
20.83333333,14.54365263,6.265650943,10.94749541,80
21.11666667,14.54365263,6.265650943,10.94749541,80
21.38333333,14.54365263,6.265650943,10.94749541,80
21.66666667,14.54365263,6.265650943,10.94749541,80
21.95,14.54365263,6.265650943,10.94749541,80
22.21666667,14.54365263,6.265650943,10.94749541,80
22.5,14.54365263,6.265650943,10.94749541,80
22.78333333,14.54365263,6.265650943,10.94749541,80
23.05,14.54365263,6.265650943,10.94749541,80
23.33333333,14.54365263,6.265650943,10.94749541,80
23.61666667,14.54365263,6.265650943,10.94749541,80
23.88333333,14.54365263,6.265650943,10.94749541,80
24.16666667,14.54365263,6.265650943,10.94749541,80
24.45,14.54365263,6.265650943,10.94749541,80
24.71666667,14.54365263,6.265650943,10.94749541,80
25,14.54365263,6.265650943,10.94749541,80
25.28333333,14.54365263,6.265650943,10.94749541,80
25.55,14.54365263,6.265650943,10.94749541,80
25.83333333,14.54365263,6.265650943,10.94749541,80
26.11666667,14.54365263,6.265650943,10.94749541,80
26.38333333,14.54365263,6.265650943,10.94749541,80
26.66666667,14.54365263,6.265650943,10.94749541,80
26.95,14.54365263,6.265650943,10.94749541,80
27.21666667,14.54365263,6.265650943,10.94749541,80
27.5,14.54365263,6.265650943,10.94749541,80
27.78333333,14.54365263,6.265650943,10.94749541,80
28.05,14.54365263,6.265650943,10.94749541,80
28.33333333,14.54365263,6.265650943,10.94749541,80
28.61666667,14.54365263,6.265650943,10.94749541,80
28.88333333,14.54365263,6.265650943,10.94749541,80
29.16666667,14.54365263,6.265650943,10.94749541,80
29.45,14.54365263,6.265650943,10.94749541,80
29.71666667,14.54365263,6.265650943,10.94749541,80
30,14.54365263,6.265650943,10.94749541,80
30.28333333,14.54365263,6.265650943,10.94749541,80
30.55,14.54365263,6.265650943,10.94749541,80
30.83333333,14.54365263,6.265650943,10.94749541,80
31.11666667,14.54365263,6.265650943,10.94749541,80
31.38333333,14.54365263,6.265650943,10.94749541,80
31.66666667,14.54365263,6.265650943,10.94749541,80
31.95,14.54365263,6.265650943,10.94749541,80
32.21666667,14.54365263,6.265650943,10.94749541,80
32.5,14.54365263,6.265650943,10.94749541,80
32.78333333,14.54365263,6.265650943,10.94749541,80
33.05,14.54365263,6.265650943,10.94749541,80
33.33333333,14.54365263,6.265650943,10.94749541,80
33.61666667,14.54365263,6.265650943,10.94749541,80
33.88333333,14.54365263,6.265650943,10.94749541,80
34.16666667,19.57493419,44.94478092,231.2911858,45.89421697
34.45,19.57493419,44.94478092,231.2911858,45.89421697
34.71666667,7.985416162,20.80336736,57.41302765,18.51848374
35,7.732135634,19.5124458,52.98379232,17.97009487
35.28333333,7.732135634,19.5124458,52.98379232,17.97009487
35.55,7.732135634,19.5124458,52.98379232,17.97009487
35.83333333,7.732135634,19.5124458,52.98379232,17.97009487
36.11666667,7.732135634,19.5124458,52.98379232,17.97009487
36.38333333,7.732135634,19.5124458,52.98379232,17.97009487
36.66666667,7.732135634,19.5124458,52.98379232,17.97009487
36.95,7.732135634,19.5124458,52.98379232,17.97009487
37.21666667,7.732135634,19.5124458,52.98379232,17.97009487
37.5,7.732135634,19.5124458,52.98379232,17.97009487
37.78333333,7.732135634,19.5124458,52.98379232,17.97009487
38.05,7.732135634,19.5124458,52.98379232,17.97009487
38.33333333,7.732135634,19.5124458,52.98379232,17.97009487
38.61666667,7.732135634,19.5124458,52.98379232,17.97009487
38.88333333,7.732135634,19.5124458,52.98379232,17.97009487
39.16666667,7.732135634,19.5124458,52.98379232,17.97009487
39.45,7.732135634,19.5124458,52.98379232,17.97009487
39.71666667,7.732135634,19.5124458,52.98379232,17.97009487
40,7.732135634,19.5124458,52.98379232,17.97009487
40.28333333,7.732135634,19.5124458,52.98379232,17.97009487
40.55,7.732135634,19.5124458,52.98379232,17.97009487
40.83333333,7.732135634,19.5124458,52.98379232,17.97009487
41.11666667,7.732135634,19.5124458,52.98379232,17.97009487
41.38333333,7.732135634,19.5124458,52.98379232,17.97009487
41.66666667,7.732135634,19.5124458,52.98379232,17.97009487
41.95,7.732135634,19.5124458,52.98379232,17.97009487
42.21666667,7.732135634,19.5124458,52.98379232,17.97009487
42.5,8.345616128,20.42641754,51.99319717,17.70974138
42.78333333,8.345616128,20.42641754,51.99319717,17.70974138
43.05,8.345616128,20.42641754,51.99319717,17.70974138
43.33333333,8.345616128,20.42641754,51.99319717,17.70974138
43.61666667,8.345616128,20.42641754,51.99319717,17.70974138
43.88333333,8.345616128,20.42641754,51.99319717,17.70974138
44.16666667,8.345616128,20.42641754,51.99319717,17.70974138
44.45,8.345616128,20.42641754,51.99319717,17.70974138
44.71666667,8.345616128,20.42641754,51.99319717,17.70974138
45,8.345616128,20.42641754,51.99319717,17.70974138
45.28333333,8.345616128,20.42641754,51.99319717,17.70974138
45.55,8.345616128,20.42641754,51.99319717,17.70974138
45.83333333,8.345616128,20.42641754,51.99319717,17.70974138
46.11666667,8.345616128,20.42641754,51.99319717,17.70974138
46.38333333,8.345616128,20.42641754,51.99319717,17.70974138
46.66666667,8.345616128,20.42641754,51.99319717,17.70974138
46.95,8.345616128,20.42641754,51.99319717,17.70974138
47.21666667,8.345616128,20.42641754,51.99319717,17.70974138
47.5,8.345616128,20.42641754,51.99319717,17.70974138
47.78333333,8.345616128,20.42641754,51.99319717,17.70974138
48.05,8.345616128,20.42641754,51.99319717,17.70974138
48.33333333,8.345616128,20.42641754,51.99319717,17.70974138
48.61666667,8.345616128,20.42641754,51.99319717,17.70974138
48.88333333,8.345616128,20.42641754,51.99319717,17.70974138
49.16666667,8.345616128,20.42641754,51.99319717,17.70974138
49.45,8.345616128,20.42641754,51.99319717,17.70974138
49.71666667,8.345616128,20.42641754,51.99319717,17.70974138
50,8.345616128,20.42641754,51.99319717,17.70974138
50.28333333,8.345616128,20.42641754,51.99319717,17.70974138
50.55,8.345616128,20.42641754,51.99319717,17.70974138
50.83333333,8.345616128,20.42641754,51.99319717,17.70974138
51.11666667,8.345616128,20.42641754,51.99319717,17.70974138
51.38333333,8.345616128,20.42641754,51.99319717,17.70974138
51.66666667,8.345616128,20.42641754,51.99319717,17.70974138
51.95,8.345616128,20.42641754,51.99319717,17.70974138
52.21666667,8.345616128,20.42641754,51.99319717,17.70974138
52.5,8.345616128,20.42641754,51.99319717,17.70974138
52.78333333,8.345616128,20.42641754,51.99319717,17.70974138
53.05,8.345616128,20.42641754,51.99319717,17.70974138
53.33333333,8.345616128,20.42641754,51.99319717,17.70974138
53.61666667,8.175470677,20.19010736,49.6772956,18.15828682
53.88333333,8.175470677,20.19010736,49.6772956,18.15828682
54.16666667,8.175470677,20.19010736,49.6772956,18.15828682
54.45,8.175470677,20.19010736,49.6772956,18.15828682
54.71666667,8.175470677,20.19010736,49.6772956,18.15828682
55,8.175470677,20.19010736,49.6772956,18.15828682
55.28333333,8.175470677,20.19010736,49.6772956,18.15828682
55.55,8.175470677,20.19010736,49.6772956,18.15828682
55.83333333,8.175470677,20.19010736,49.6772956,18.15828682
56.11666667,8.175470677,20.19010736,49.6772956,18.15828682
56.38333333,8.175470677,20.19010736,49.6772956,18.15828682
56.66666667,8.175470677,20.19010736,49.6772956,18.15828682
56.95,8.175470677,20.19010736,49.6772956,18.15828682
57.21666667,8.16228191,24.50728669,53.62816219,17.61198958
57.5,9.72459668,31.15570209,64.13657955,16.63477228
57.78333333,9.64316462,33.53922076,65.88209505,16.51738193
58.05,9.64316462,33.53922076,65.88209505,16.51738193
58.33333333,9.64316462,33.53922076,65.88209505,16.51738193
58.61666667,9.598014459,32.02479857,62.79982469,17.12174499
58.88333333,9.596933282,30.99454394,60.3113628,16.77026475
59.16666667,9.596933282,30.99454394,60.3113628,16.77026475
59.45,9.596933282,30.99454394,60.3113628,16.77026475
59.71666667,9.596933282,30.99454394,60.3113628,16.77026475
60,9.596933282,30.99454394,60.3113628,16.77026475
60.28333333,9.596933282,30.99454394,60.3113628,16.77026475
60.55,9.596933282,30.99454394,60.3113628,16.77026475
60.83333333,9.596933282,30.99454394,60.3113628,16.77026475
61.11666667,9.596933282,30.99454394,60.3113628,16.77026475
61.38333333,9.596933282,30.99454394,60.3113628,16.77026475
61.66666667,9.596933282,30.99454394,60.3113628,16.77026475
61.95,9.596933282,30.99454394,60.3113628,16.77026475
62.21666667,9.596933282,30.99454394,60.3113628,16.77026475
62.5,9.596933282,30.99454394,60.3113628,16.77026475
62.78333333,9.596933282,30.99454394,60.3113628,16.77026475
63.05,9.596933282,30.99454394,60.3113628,16.77026475
63.33333333,9.596933282,30.99454394,60.3113628,16.77026475
63.61666667,9.596933282,30.99454394,60.3113628,16.77026475
63.88333333,9.596933282,30.99454394,60.3113628,16.77026475
64.16666667,9.596933282,30.99454394,60.3113628,16.77026475
64.45,9.596933282,30.99454394,60.3113628,16.77026475
64.71666667,9.596933282,30.99454394,60.3113628,16.77026475
65,9.596933282,30.99454394,60.3113628,16.77026475
65.28333333,9.596933282,30.99454394,60.3113628,16.77026475
65.55,9.596933282,30.99454394,60.3113628,16.77026475
65.83333333,9.596933282,30.99454394,60.3113628,16.77026475
66.11666667,9.596933282,30.99454394,60.3113628,16.77026475
66.38333333,9.596933282,30.99454394,60.3113628,16.77026475
66.66666667,9.596933282,30.99454394,60.3113628,16.77026475
66.95,9.487244802,33.54011244,62.60598784,16.5946193
67.21666667,9.487244802,33.54011244,62.60598784,16.5946193
67.5,10.02424578,32.42115996,60.85503461,20.497814
67.78333333,10.02424578,32.42115996,60.85503461,20.497814
68.05,10.02424578,32.42115996,60.85503461,20.497814
