GPU_Usage,AVG_Memory,Machine_Load,Network_Load,inst_id
10,40,40,20,36de33455b1cd3848402f1f9e710de2f6a2f3b58aa7865854183ad7b3458
10,40,40,10,5972bd46eb1430fe7e443fc19bf115617d5bdb6b11f639274b17b3478143
10,40,40,10,25819126a88a3100889c104d4206ef1e8f13eb539261a0c1a4f92fee5da0
10,40,40,10,5b35c1782d4f489d39e3119338b19b9f16f76e1a30a7e6a9eedf1664e1fb
10,40,40,10,22a0a402d4fe64e3ccbde5bbfec36fff38f9bcb3448df5369545d23b94e4
10,40,40,30,8ce44053f72fc4f3c2d7873128c66e3b29bb9446e20e782f47ab64859ab5
10,40,40,30,95e8986500463e4abd0ec09374cb8800f79ca2681e6f373389735e4a15b2
10,40,40,20,a2f886fa32791aec28de98a7e5537c86db6f371542da61e1d6baee5113e5
10,40,40,20,2075be8694153181002978fd4dde8d0bf25f36f875350acaecbf46b017ac
10,40,40,10,41088b654cdb6689ca150c9a3a0faee5bcdc64b605eade7ed30b38b0b931
10,40,40,30,0d3dff17fcf308e181a03c17808ba3557a8032a4987e3c7f473c2279dc7d
10,40,40,40,abe18246fad07773b7ad95fe23547c31c5e4603b85b79e87859b5b0e46c7
10,40,40,20,094af6589cfc1a92b5aead14141252ffdd405b53b2be5a19bd53ff7ecf12
10,40,40,20,988702f20664b86afd701b2e2dfba2997ae8af25db0310089aede092dc69
10,40,40,20,011658299459d9c0ade8420fc7426ea946a6d5da3bce495f4ae2d13e84e7
10,40,40,10,c5ce3654c09a2dec7371c7e865e5d0e05ef207ce7760998fc0c09d34fc1d
10,40,40,10,88a59310475c57d51132cb97fb6d501dec6214b8134b991407a54bb0eb9f
10,40,40,20,2125fc257de6e3034b0d85f1025be2df270e4474d23ddda7bcef946fac98
10,40,40,30,62582af5ab4e5c98baa3e885add04e5b3e07b29fc16da69c7374cbd1bc26
10,40,40,10,074544fda317ffb488a1883ff688a1df8a06ed448646bc4aadbe3b6accfd
10,40,40,10,2e908cae5a306168d8185d616afcf3d3dc4565c22afb7f2921e17c5ce54f
10,40,40,10,e7b3a728a44b1e6191156712ee609d248c5d53d42faca5ae71a2ae750b32
10,40,40,30,b2473f95ebdbae6f0e0ae628acc221b4aa0f13c96635f77d9c96918e9914
10,40,40,40,bf2e4bc7acbc35947f74faa2334226c26a8ca8f3207e79e17ce491a097ec
10,40,40,40,028acf24d179cf5b10bacacd084b18e13623517d7728be992e5b615799a3
10,30,30,20,836b3e167040fd4b35fb3cbd55f086b832ed884886bd2c849983d1051c83
10,40,40,40,3d42609200da1604dd222acd5956c379e97724836b49cfb32251149fb111
10,30,20,20,170e0f5be395841ed32c0f24e47fd6fb12d20cad25924a0397b10a79ab4e
10,40,40,40,26301e04863e7d09f801eae6367b4c6cb70e4d059d841cec2be6100c7b81
10,40,40,40,d19f7ac19ed3579678c35114df488efd261ea8b111b55f87e263f85294e1
10,20,10,40,c5c216e5aeefa7009ddeb85bbb7fd0ca2a538f12addc36daeafcd35d662d
10,20,20,20,dce40f43cd2f389265533200eb3556677b56d40b4f958762734a8e8692d1
10,20,20,40,03b63c0aec46ba7fa19e5481fcd0fe1c53093c93436c6f42437f50b3a0e9
10,40,40,40,076e3710e17bf48a3c9e518bd8ed144bff989aa3e5feb0a2a5c1cab4f905
