,worker_name,machine,start_time,end_time,machine_cpu_iowait,machine_cpu_kernel,machine_cpu_usr,machine_gpu,machine_load_1,machine_net_receive,machine_num_worker,machine_cpu,job_name,task_name,inst_id,gpu_name,cpu_usage,gpu_wrk_util,avg_mem,max_mem,avg_gpu_wrk_mem,max_gpu_wrk_mem,read,write,read_count,write_count
0,8fa54171acbc9f16704c03f137ac053ede9a97432cfc94e7d1d6893d9b5a,5248e29b2b7f2b5f8b974608,2134401,2134599,,,,,,,,,3e4e9725920e7dc4a7a4ebdd,worker,ccc2b2c5742997e7ed0459efa6ec3db8b8e56e3f7fcd5f63e610e1b11cf4,/dev/nvidia2,108.76923076923076,29.16666666666667,5.652701028963414,6.9375,1.963843936011904,2.3173828125,209177735.02325585,71929113.58139534,9510.627906976744,107039.3023255814
33,970333a1e751cda79c7a7e43a27f3bb1305f0fc0c1399f46d5d633bd83e7,5248e29b2b7f2b5f8b974608,2134131,2135035,,,,,,,,,30b48b9a7be30714af69efd1,worker,bf2e4bc7acbc35947f74faa2334226c26a8ca8f3207e79e17ce491a097ec,/dev/nvidia1,621.1229050279329,8.967032967032967,9.035733554903317,13.8974609375,1.4052144144917582,2.3271484375,790992171.4590164,42691484.81967213,45474.37158469945,12076.74316939891
34,0ef97162d12ef3f25450c0d4badd16307c02b5e0141e3dbd765dd3a621ab,5248e29b2b7f2b5f8b974608,2134512,2136156,,,,,,,,,39c97978219e2023278fb4f1,worker,3d42609200da1604dd222acd5956c379e97724836b49cfb32251149fb111,/dev/nvidia2,743.6920731707318,13.758308157099698,10.593735203598484,13.97265625,1.856265341767372,2.3271484375,2053098444.5542169,109468798.06927712,126923.12048192768,31889.057228915663
3330,f8bd7e8763c5cf3519c29bce9c3233b3b70dd8e2bb7799035bff86d67405,ab8844aaf1ceb8329f8b4529,2134401,2134623,,,,,,,,,3e4e9725920e7dc4a7a4ebdd,worker,ccc2b2c5742997e7ed0459efa6ec3db8b8e56e3f7fcd5f63e610e1b11cf4,/dev/nvidia7,109.046511627907,28.58695652173913,5.851779513888888,6.90625,1.9802352241847825,2.3134765625,106797097.74468084,43329514.21276595,4829.91489361702,49502.89361702128
3358,32d2720c5ed0b0b6f0318b4975eb36a929b9c2475c1dce4276a87c741c91,ab8844aaf1ceb8329f8b4529,2134131,2135029,,,,,,,,,30b48b9a7be30714af69efd1,worker,bf2e4bc7acbc35947f74faa2334226c26a8ca8f3207e79e17ce491a097ec,/dev/nvidia0,650.6815642458099,7.670329670329671,8.646020372928179,13.8564453125,1.4451890882554943,2.3271484375,1472280918.7595627,78386480.53005464,36267.13114754098,21460.311475409835
3741,012850248baca3741513ac3444b2a664d6fb4d8ace73763f07bea25add31,ab8844aaf1ceb8329f8b4529,2136155,2136185,,,,,,,,,125526f8b84815919dc69320,worker,9f0f798ce3b9b59b6df3ac302ce886149472eae16ffb5fad3f958fb16c52,/dev/nvidia3,51.2,0.0,0.4009486607142857,0.5048828125,0.0,0.0,63174846.44444445,73212546.0,8899.666666666666,4354.0
3767,6b7570cf7de5f6c6cab58689f0df0bda3504450e87ef1db9c86e1cb1d029,ab8844aaf1ceb8329f8b4529,2134962,2135241,,,,,,,,,a759034541ad13323204371e,worker,5b79ae6772daa5dda69c03ad15dca0c73693d1673087a5a2671ccb8f7a17,/dev/nvidia7,153.3090909090909,49.6551724137931,3.601990816885965,4.8564453125,2.0462183459051726,2.2392578125,296829760.11864406,23253984.47457627,7179.661016949151,3556.949152542373
4083,9f6fc8298fda6168f4c76f816f08c8c784cf8fa409344b3f029925b41c89,ab8844aaf1ceb8329f8b4529,2133799,2134312,,,,,,,,,1f9ba648a8a9b1a4e3029cea,worker,832fbcd1c7106021c59addea58d635a037b813373748bd4051625c64310e,/dev/nvidia7,351.6699029126213,3.5809523809523816,2.7851838885613214,3.4091796875,6.633677455357143,8.3427734375,60964810.44859813,21734476.439252336,2520.392523364486,1469.046728971963
4341,30ff76425b9ddb8a0a9ce170d4ab3fde7f1ba21af43d2e5fdddcd78af923,ab8844aaf1ceb8329f8b4529,2132056,2132098,,,,,,,,,82723d0eff0872f1aaa79c05,tensorflow,afa04bc806394f21a13e343d948ae97ec0d942fe2fb7a21223d5559e3a02,/dev/nvidia7,91.0,0.0,0.39169921875,1.673828125,0.2904829545454545,0.400390625,27560273.66666667,6931225.833333332,7398.583333333332,690.1666666666665
4342,32d42e0cc7c42f488c023f2fbbb44d263b221549dad78e4cfae64709369b,ab8844aaf1ceb8329f8b4529,2132898,2133080,,,,,,,,,5cbc32d2765ec4e1c6a447e0,tensorflow,95b309f121a5a3a4ac2586725620407a3eb97f1d63e6d6950a6e74af4ce9,/dev/nvidia7,106.35135135135135,3.05,1.4226512419871795,5.759765625,0.69736328125,1.59375,8860631.487804879,2202312.219512196,2482.780487804879,406.4878048780488
